ZaporednaStevilkaPN;KlasifikacijaNesrece;UpravnaEnotaStoritve;DatumPN;UraPN;VNaselju;Lokacija;VrstaCesteNaselja;SifraCesteNaselja;TekstCesteNaselja;SifraOdsekaUlice;TekstOdsekaUlice;StacionazaDogodka;OpisKraja;VzrokNesrece;TipNesrece;VremenskeOkoliscine;StanjePrometa;StanjeVozisca;VrstaVozisca;GeoKoordinataX;GeoKoordinataY;ZaporednaStevilkaOsebeVPN;Povzrocitelj;Starost;Spol;UEStalnegaPrebivalisca;Drzavljanstvo;PoskodbaUdelezenca;VrstaUdelezenca;UporabaVarnostnegaPasu;VozniskiStazVLetih;VozniskiStazVMesecih;VrednostAlkotesta;VrednostStrokovnegaPregleda
14;Z MATERIALNO ŠKODO;TOLMIN;02.01.2019;10;NE;CESTA;GLAVNA CESTA II. REDA;00102;ROBIÈ-IDRIJA-LOGATEC;01006;IDRSKO-PERŠETI;7650;CESTA;NEUSTREZNA VARNOSTNA RAZDALJA;TRÈENJE V STOJEÈE / PARKIRANO VOZILO;JASNO;NORMALEN;MOKRO;HRAPAV  ASFALT / BETON;118675;398067;2;UDELEŽENEC;75;ŽENSKI;TOLMIN;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;49;11;,00;,00
15;Z LAŽJO TELESNO POŠKODBO;MURSKA SOBOTA;01.01.2019;17;NE;CESTA;REGIONALNA CESTA;00232;HODOŠ-PETROVCI-MS-LIPOVCI;01315;PETROVCI-MARTJANCI;15700;CESTA;NEPRILAGOJENA HITROST;NALETNO TRÈENJE;JASNO;REDEK;SUHO;HRAPAV  ASFALT / BETON;173660;590173;1;UDELEŽENEC;50;ŽENSKI;MURSKA SOBOTA;SLOVENIJA;LAŽJA TELESNA POŠKODBA;POTNIK;DA;0;0;,00;,00
15;Z LAŽJO TELESNO POŠKODBO;MURSKA SOBOTA;01.01.2019;17;NE;CESTA;REGIONALNA CESTA;00232;HODOŠ-PETROVCI-MS-LIPOVCI;01315;PETROVCI-MARTJANCI;15700;CESTA;NEPRILAGOJENA HITROST;NALETNO TRÈENJE;JASNO;REDEK;SUHO;HRAPAV  ASFALT / BETON;173660;590173;2;UDELEŽENEC;38;ŽENSKI;MARIBOR;SLOVENIJA;LAŽJA TELESNA POŠKODBA;POTNIK;DA;0;0;,00;,00
15;Z LAŽJO TELESNO POŠKODBO;MURSKA SOBOTA;01.01.2019;17;NE;CESTA;REGIONALNA CESTA;00232;HODOŠ-PETROVCI-MS-LIPOVCI;01315;PETROVCI-MARTJANCI;15700;CESTA;NEPRILAGOJENA HITROST;NALETNO TRÈENJE;JASNO;REDEK;SUHO;HRAPAV  ASFALT / BETON;173660;590173;3;POVZROÈITELJ;55;MOŠKI;MURSKA SOBOTA;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;36;08;,47;,00
15;Z LAŽJO TELESNO POŠKODBO;MURSKA SOBOTA;01.01.2019;17;NE;CESTA;REGIONALNA CESTA;00232;HODOŠ-PETROVCI-MS-LIPOVCI;01315;PETROVCI-MARTJANCI;15700;CESTA;NEPRILAGOJENA HITROST;NALETNO TRÈENJE;JASNO;REDEK;SUHO;HRAPAV  ASFALT / BETON;173660;590173;4;UDELEŽENEC;37;MOŠKI;MARIBOR;SLOVENIJA;LAŽJA TELESNA POŠKODBA;VOZNIK OSEBNEGA AVTOMOBILA;DA;17;10;,00;,00
15;Z LAŽJO TELESNO POŠKODBO;MURSKA SOBOTA;01.01.2019;17;NE;CESTA;REGIONALNA CESTA;00232;HODOŠ-PETROVCI-MS-LIPOVCI;01315;PETROVCI-MARTJANCI;15700;CESTA;NEPRILAGOJENA HITROST;NALETNO TRÈENJE;JASNO;REDEK;SUHO;HRAPAV  ASFALT / BETON;173660;590173;5;UDELEŽENEC;59;ŽENSKI;MURSKA SOBOTA;SLOVENIJA;LAŽJA TELESNA POŠKODBA;POTNIK;DA;0;0;,00;,00
16;Z MATERIALNO ŠKODO;LJUBLJANA;02.01.2019;23;NE;CESTA;REGIONALNA CESTA;00211;KRANJ(LABORE)-LJ(ŠENTVID);00212;JEPRCA-LJUBLJANA ŠENTVID;4750;CESTA;OSTALO;TRÈENJE V OBJEKT;JASNO;REDEK;SUHO;HRAPAV  ASFALT / BETON;109471;456293;1;UDELEŽENEC;46;MOŠKI;ŠKOFJA LOKA;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;25;09;,00;,00
17;Z MATERIALNO ŠKODO;KOÈEVJE;01.01.2019;5;NE;CESTA;GLAVNA CESTA II. REDA;00106;LJ JUG-ŠKOFLJICA-ŠM.SAP;00265;LIVOLD-FARA;20870;CESTA;NEPRILAGOJENA HITROST;BOÈNO TRÈENJE;OBLAÈNO;REDEK;MOKRO;HRAPAV  ASFALT / BETON;37399;490922;1;POVZROÈITELJ;50;MOŠKI;KOÈEVJE;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;30;03;,00;,00
18;Z MATERIALNO ŠKODO;PIRAN;01.01.2019;22;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;40006;PIRAN;00051;STJENKOVA ULICA;2;CESTA;PREMIKI Z VOZILOM;TRÈENJE V STOJEÈE / PARKIRANO VOZILO;NEZNANO;NEZNANO;SUHO;ZGLAJEN ASFALT / BETON;43642;388439;1;POVZROÈITELJ;23;MOŠKI;PIRAN;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;NEZNANO;04;03;,00;,00
18;Z MATERIALNO ŠKODO;PIRAN;01.01.2019;22;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;40006;PIRAN;00051;STJENKOVA ULICA;2;CESTA;PREMIKI Z VOZILOM;TRÈENJE V STOJEÈE / PARKIRANO VOZILO;NEZNANO;NEZNANO;SUHO;ZGLAJEN ASFALT / BETON;43642;388439;2;UDELEŽENEC;64;MOŠKI;PIRAN;SLOVENIJA;BREZ POŠKODBE-UZ;VOZNIK OSEBNEGA AVTOMOBILA;NEZNANO;0;0;,00;,00
