ZaporednaStevilkaPN;KlasifikacijaNesrece;UpravnaEnotaStoritve;DatumPN;UraPN;VNaselju;Lokacija;VrstaCesteNaselja;SifraCesteNaselja;TekstCesteNaselja;SifraOdsekaUlice;TekstOdsekaUlice;StacionazaDogodka;OpisKraja;VzrokNesrece;TipNesrece;VremenskeOkoliscine;StanjePrometa;StanjeVozisca;VrstaVozisca;GeoKoordinataX;GeoKoordinataY;ZaporednaStevilkaOsebeVPN;Povzrocitelj;Starost;Spol;UEStalnegaPrebivalisca;Drzavljanstvo;PoskodbaUdelezenca;VrstaUdelezenca;UporabaVarnostnegaPasu;VozniskiStazVLetih;VozniskiStazVMesecih;VrednostAlkotesta;VrednostStrokovnegaPregleda
1229;Z LAŽJO TELESNO POŠKODBO;KOPER;03.02.2019;12;DA;NASELJE;NASELJE BREZ ULIÈNEGA SISTEMA;17052;LOPAR;0;NI ODSEKOV;3;CESTA;NEPRILAGOJENA HITROST;PREVRNITEV VOZILA;OBLAÈNO;REDEK;MOKRO;ZGLAJEN ASFALT / BETON;41066;408422;1;POVZROÈITELJ;42;MOŠKI;KOPER;SLOVENIJA;LAŽJA TELESNA POŠKODBA;VOZNIK MOPEDA;NE;0;0;,63;,00
1230;Z MATERIALNO ŠKODO;SLOVENSKA BISTRICA;02.02.2019;17;DA;NASELJE;NASELJE BREZ ULIÈNEGA SISTEMA;50054;MAKOLE;0;NI ODSEKOV;4;CESTA;NEPRAVILNA STRAN / SMER VOŽNJE;OPLAŽENJE;DEŽEVNO;REDEK;MOKRO;HRAPAV  ASFALT / BETON;130770;551990;1;POVZROÈITELJ;69;MOŠKI;SLOVENSKA BISTRICA;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;16;09;,67;,00
1230;Z MATERIALNO ŠKODO;SLOVENSKA BISTRICA;02.02.2019;17;DA;NASELJE;NASELJE BREZ ULIÈNEGA SISTEMA;50054;MAKOLE;0;NI ODSEKOV;4;CESTA;NEPRAVILNA STRAN / SMER VOŽNJE;OPLAŽENJE;DEŽEVNO;REDEK;MOKRO;HRAPAV  ASFALT / BETON;130770;551990;2;UDELEŽENEC;60;MOŠKI;MARIBOR;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;37;10;,00;,00
1231;Z MATERIALNO ŠKODO;VELENJE;22.01.2019;15;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;59040;VELENJE;00052;KOŽELJSKEGA ULICA;6;PARKIRNI PROSTOR;PREMIKI Z VOZILOM;TRÈENJE V STOJEÈE / PARKIRANO VOZILO;NEZNANO;NEZNANO;SNEŽENO - PLUŽENO;ZGLAJEN ASFALT / BETON;134593;510247;1;POVZROÈITELJ;74;MOŠKI;VELENJE;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;30;08;,00;,00
1231;Z MATERIALNO ŠKODO;VELENJE;22.01.2019;15;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;59040;VELENJE;00052;KOŽELJSKEGA ULICA;6;PARKIRNI PROSTOR;PREMIKI Z VOZILOM;TRÈENJE V STOJEÈE / PARKIRANO VOZILO;NEZNANO;NEZNANO;SNEŽENO - PLUŽENO;ZGLAJEN ASFALT / BETON;134593;510247;2;UDELEŽENEC;25;MOŠKI;VELENJE;SLOVENIJA;BREZ POŠKODBE;OSTALO;NE;0;0;,00;,00
1232;Z LAŽJO TELESNO POŠKODBO;NOVO MESTO;04.02.2019;1;DA;NASELJE;NASELJE BREZ ULIÈNEGA SISTEMA;38082;GORENJA BREZOVICA-ŠENTJER;0;NI ODSEKOV;29;CESTA;NEPRILAGOJENA HITROST;TRÈENJE V OBJEKT;DEŽEVNO;REDEK;MOKRO;ZGLAJEN ASFALT / BETON;77130;525091;1;POVZROÈITELJ;38;MOŠKI;NOVO MESTO;SLOVENIJA;LAŽJA TELESNA POŠKODBA;VOZNIK OSEBNEGA AVTOMOBILA;NE;19;08;,00;,00
1233;Z MATERIALNO ŠKODO;LJUBLJANA;01.02.2019;15;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;25001;LJUBLJANA;24153;VOJKOVA CESTA;100;CESTA;NEUPOŠTEVANJE PRAVIL O PREDNOSTI;BOÈNO TRÈENJE;DEŽEVNO;NORMALEN;MOKRO;HRAPAV  ASFALT / BETON;104225;463308;1;POVZROÈITELJ;55;MOŠKI;KAMNIK;;BREZ POŠKODBE;VOZNIK TOVORNEGA VOZILA;DA;31;01;,00;,00
1233;Z MATERIALNO ŠKODO;LJUBLJANA;01.02.2019;15;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;25001;LJUBLJANA;24153;VOJKOVA CESTA;100;CESTA;NEUPOŠTEVANJE PRAVIL O PREDNOSTI;BOÈNO TRÈENJE;DEŽEVNO;NORMALEN;MOKRO;HRAPAV  ASFALT / BETON;104225;463308;2;UDELEŽENEC;49;ŽENSKI;DOMŽALE;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;30;11;,00;,00
1234;Z MATERIALNO ŠKODO;TREBNJE;01.02.2019;20;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;57189;TREBNJE;00005;KIDRIÈEVA ULICA;16;KRIŽIŠÈE;NEUPOŠTEVANJE PRAVIL O PREDNOSTI;NALETNO TRÈENJE;OBLAÈNO;REDEK;MOKRO;HRAPAV  ASFALT / BETON;85236;500985;1;POVZROÈITELJ;41;MOŠKI;TREBNJE;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;NE;22;06;,00;,00
1234;Z MATERIALNO ŠKODO;TREBNJE;01.02.2019;20;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;57189;TREBNJE;00005;KIDRIÈEVA ULICA;16;KRIŽIŠÈE;NEUPOŠTEVANJE PRAVIL O PREDNOSTI;NALETNO TRÈENJE;OBLAÈNO;REDEK;MOKRO;HRAPAV  ASFALT / BETON;85236;500985;2;UDELEŽENEC;24;ŽENSKI;TREBNJE;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;06;04;,00;,00
1235;Z MATERIALNO ŠKODO;LJUBLJANA;01.02.2019;14;NE;CESTA;GLAVNA CESTA II. REDA;00104;KRANJ V-BRNIK-TRZIN-LJ;00687;LJ ÈRNUÈE-TOMAÈEVO;900;KRIŽIŠÈE;NEUPOŠTEVANJE PRAVIL O PREDNOSTI;BOÈNO TRÈENJE;OBLAÈNO;GOST;MOKRO;HRAPAV  ASFALT / BETON;106076;464624;1;UDELEŽENEC;21;MOŠKI;LOGATEC;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;03;04;,00;,00
1235;Z MATERIALNO ŠKODO;LJUBLJANA;01.02.2019;14;NE;CESTA;GLAVNA CESTA II. REDA;00104;KRANJ V-BRNIK-TRZIN-LJ;00687;LJ ÈRNUÈE-TOMAÈEVO;900;KRIŽIŠÈE;NEUPOŠTEVANJE PRAVIL O PREDNOSTI;BOÈNO TRÈENJE;OBLAÈNO;GOST;MOKRO;HRAPAV  ASFALT / BETON;106076;464624;2;POVZROÈITELJ;40;MOŠKI;;BOLGARIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;07;06;,00;,00
1236;Z MATERIALNO ŠKODO;SLOVENJ GRADEC;30.01.2019;11;DA;NASELJE;NASELJE BREZ ULIÈNEGA SISTEMA;49014;PAMEÈE;0;NI ODSEKOV;167;PARKIRNI PROSTOR;PREMIKI Z VOZILOM;OPLAŽENJE;OBLAÈNO;REDEK;MOKRO;ZGLAJEN ASFALT / BETON;154370;505878;1;UDELEŽENEC;39;ŽENSKI;TRBOVLJE;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;19;02;,00;,00
1236;Z MATERIALNO ŠKODO;SLOVENJ GRADEC;30.01.2019;11;DA;NASELJE;NASELJE BREZ ULIÈNEGA SISTEMA;49014;PAMEÈE;0;NI ODSEKOV;167;PARKIRNI PROSTOR;PREMIKI Z VOZILOM;OPLAŽENJE;OBLAÈNO;REDEK;MOKRO;ZGLAJEN ASFALT / BETON;154370;505878;2;POVZROÈITELJ;43;MOŠKI;MARIBOR;SLOVENIJA;BREZ POŠKODBE;VOZNIK TOVORNEGA VOZILA;DA;04;09;,00;,00
1237;Z MATERIALNO ŠKODO;LJUBLJANA;30.01.2019;7;DA;NASELJE;NASELJE BREZ ULIÈNEGA SISTEMA;26009;GABRJE PRI JANÈAH;0;NI ODSEKOV;13;CESTA;OSTALO;OPLAŽENJE;OBLAÈNO;REDEK;MOKRO;HRAPAV  ASFALT / BETON;100247;476821;1;UDELEŽENEC;32;MOŠKI;LJUBLJANA;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;0;0;,00;,00
1237;Z MATERIALNO ŠKODO;LJUBLJANA;30.01.2019;7;DA;NASELJE;NASELJE BREZ ULIÈNEGA SISTEMA;26009;GABRJE PRI JANÈAH;0;NI ODSEKOV;13;CESTA;OSTALO;OPLAŽENJE;OBLAÈNO;REDEK;MOKRO;HRAPAV  ASFALT / BETON;100247;476821;2;UDELEŽENEC;38;ŽENSKI;ŠKOFJA LOKA;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;0;0;,00;,00
1238;Z MATERIALNO ŠKODO;NOVA GORICA;16.01.2019;14;NE;CESTA;GLAVNA CESTA II. REDA;00103;PERŠETI-N.GORICA-ŠEMPETER;01008;UŠNIK-PLAVE;9300;CESTA;NEPRAVILNO PREHITEVANJE;BOÈNO TRÈENJE;JASNO;NORMALEN;SUHO;HRAPAV  ASFALT / BETON;107793;396515;1;POVZROÈITELJ;45;MOŠKI;TOLMIN;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;27;01;,00;,00
1238;Z MATERIALNO ŠKODO;NOVA GORICA;16.01.2019;14;NE;CESTA;GLAVNA CESTA II. REDA;00103;PERŠETI-N.GORICA-ŠEMPETER;01008;UŠNIK-PLAVE;9300;CESTA;NEPRAVILNO PREHITEVANJE;BOÈNO TRÈENJE;JASNO;NORMALEN;SUHO;HRAPAV  ASFALT / BETON;107793;396515;2;;24;MOŠKI;TOLMIN;SLOVENIJA;;;;0;0;,00;,00
1239;Z LAŽJO TELESNO POŠKODBO;VRHNIKA;01.02.2019;20;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;60030;VRHNIKA;00031;TRŽAŠKA CESTA;3;CESTA;NEPRAVILNOSTI PEŠCA;OPLAŽENJE;DEŽEVNO;NORMALEN;MOKRO;ZGLAJEN ASFALT / BETON;91464;445913;1;POVZROÈITELJ;23;MOŠKI;LJUBLJANA;MAKEDONIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;00;06;,00;,00
1239;Z LAŽJO TELESNO POŠKODBO;VRHNIKA;01.02.2019;20;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;60030;VRHNIKA;00031;TRŽAŠKA CESTA;3;CESTA;NEPRAVILNOSTI PEŠCA;OPLAŽENJE;DEŽEVNO;NORMALEN;MOKRO;ZGLAJEN ASFALT / BETON;91464;445913;2;UDELEŽENEC;17;ŽENSKI;VRHNIKA;BOSNA IN HERCEGOVINA;LAŽJA TELESNA POŠKODBA;PEŠEC;NEZNANO;0;0;,00;,00
1240;Z LAŽJO TELESNO POŠKODBO;RIBNICA;02.02.2019;20;DA;NASELJE;NASELJE BREZ ULIÈNEGA SISTEMA;46060;PRIGORICA;0;NI ODSEKOV;110;CESTA;NEPRAVILNOSTI PEŠCA;POVOŽENJE PEŠCA;DEŽEVNO;NORMALEN;MOKRO;ZGLAJEN ASFALT / BETON;63135;480986;1;POVZROÈITELJ;37;MOŠKI;RIBNICA;SLOVENIJA;LAŽJA TELESNA POŠKODBA;PEŠEC;NE;0;0;,00;,00
1240;Z LAŽJO TELESNO POŠKODBO;RIBNICA;02.02.2019;20;DA;NASELJE;NASELJE BREZ ULIÈNEGA SISTEMA;46060;PRIGORICA;0;NI ODSEKOV;110;CESTA;NEPRAVILNOSTI PEŠCA;POVOŽENJE PEŠCA;DEŽEVNO;NORMALEN;MOKRO;ZGLAJEN ASFALT / BETON;63135;480986;2;UDELEŽENEC;33;MOŠKI;KOÈEVJE;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;14;08;,00;,00
1241;Z LAŽJO TELESNO POŠKODBO;LOGATEC;31.01.2019;7;NE;CESTA;GLAVNA CESTA II. REDA;00102;ROBIÈ-IDRIJA-LOGATEC;01033;GODOVIÈ-KALCE;2200;CESTA;NEPRILAGOJENA HITROST;OSTALO;SNEG;NORMALEN;MOKRO;ZGLAJEN ASFALT / BETON;89531;431688;1;POVZROÈITELJ;38;MOŠKI;IDRIJA;SLOVENIJA;LAŽJA TELESNA POŠKODBA;VOZNIK OSEBNEGA AVTOMOBILA;DA;19;08;,00;,00
1242;S HUDO TELESNO POŠKODBO;LJUBLJANA;25.01.2019;17;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;25001;LJUBLJANA;27306;TACENSKA CESTA;121;PREHOD ZA PEŠCE;NEUPOŠTEVANJE PRAVIL O PREDNOSTI;POVOŽENJE PEŠCA;OBLAÈNO;REDEK;SUHO;HRAPAV  ASFALT / BETON;107848;458740;1;UDELEŽENEC;54;MOŠKI;LJUBLJANA;SLOVENIJA;HUDA TELESNA POŠKODBA;PEŠEC;NEZNANO;0;0;,00;,00
1242;S HUDO TELESNO POŠKODBO;LJUBLJANA;25.01.2019;17;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;25001;LJUBLJANA;27306;TACENSKA CESTA;121;PREHOD ZA PEŠCE;NEUPOŠTEVANJE PRAVIL O PREDNOSTI;POVOŽENJE PEŠCA;OBLAÈNO;REDEK;SUHO;HRAPAV  ASFALT / BETON;107848;458740;2;POVZROÈITELJ;42;MOŠKI;LJUBLJANA;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;24;01;,00;,00
1243;Z MATERIALNO ŠKODO;RIBNICA;01.02.2019;13;NE;CESTA;GLAVNA CESTA II. REDA;00106;LJ JUG-ŠKOFLJICA-ŠM.SAP;00263;ŽLEBIÈ-KOÈEVJE;9000;KRIŽIŠÈE;NEUSTREZNA VARNOSTNA RAZDALJA;NALETNO TRÈENJE;DEŽEVNO;NORMALEN;MOKRO;ZGLAJEN ASFALT / BETON;62044;481561;1;POVZROÈITELJ;30;MOŠKI;ŽALEC;SLOVENIJA;BREZ POŠKODBE;VOZNIK TOVORNEGA VOZILA;DA;11;11;,00;,00
1243;Z MATERIALNO ŠKODO;RIBNICA;01.02.2019;13;NE;CESTA;GLAVNA CESTA II. REDA;00106;LJ JUG-ŠKOFLJICA-ŠM.SAP;00263;ŽLEBIÈ-KOÈEVJE;9000;KRIŽIŠÈE;NEUSTREZNA VARNOSTNA RAZDALJA;NALETNO TRÈENJE;DEŽEVNO;NORMALEN;MOKRO;ZGLAJEN ASFALT / BETON;62044;481561;2;UDELEŽENEC;23;MOŠKI;;BOSNA IN HERCEGOVINA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;03;07;,00;,00
1244;Z MATERIALNO ŠKODO;LJUBLJANA;01.02.2019;17;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;25001;LJUBLJANA;25205;ZALOŠKA CESTA;242;CESTA;NEUPOŠTEVANJE PRAVIL O PREDNOSTI;NALETNO TRÈENJE;DEŽEVNO;GOST;MOKRO;ZGLAJEN ASFALT / BETON;0;0;1;UDELEŽENEC;27;MOŠKI;LJUBLJANA MOSTE POLJE;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;0;0;,00;,00
1244;Z MATERIALNO ŠKODO;LJUBLJANA;01.02.2019;17;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;25001;LJUBLJANA;25205;ZALOŠKA CESTA;242;CESTA;NEUPOŠTEVANJE PRAVIL O PREDNOSTI;NALETNO TRÈENJE;DEŽEVNO;GOST;MOKRO;ZGLAJEN ASFALT / BETON;0;0;2;POVZROÈITELJ;29;ŽENSKI;LJUBLJANA;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;0;0;,00;,00
1245;Z LAŽJO TELESNO POŠKODBO;SLOVENJ GRADEC;01.02.2019;12;NE;CESTA;GLAVNA CESTA;00004;DRAVOGRAD-SG-ARJA VAS;01259;SL.GRADEC-ZG.DOLIÈ;10527;CESTA;NEUSTREZNA VARNOSTNA RAZDALJA;TRÈENJE V STOJEÈE / PARKIRANO VOZILO;OBLAÈNO;NORMALEN;MOKRO;ZGLAJEN ASFALT / BETON;144267;515319;1;UDELEŽENEC;27;ŽENSKI;SLOVENJ GRADEC;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;11;07;,00;,00
1245;Z LAŽJO TELESNO POŠKODBO;SLOVENJ GRADEC;01.02.2019;12;NE;CESTA;GLAVNA CESTA;00004;DRAVOGRAD-SG-ARJA VAS;01259;SL.GRADEC-ZG.DOLIÈ;10527;CESTA;NEUSTREZNA VARNOSTNA RAZDALJA;TRÈENJE V STOJEÈE / PARKIRANO VOZILO;OBLAÈNO;NORMALEN;MOKRO;ZGLAJEN ASFALT / BETON;144267;515319;2;POVZROÈITELJ;37;ŽENSKI;LJUBLJANA;SLOVENIJA;LAŽJA TELESNA POŠKODBA;VOZNIK OSEBNEGA AVTOMOBILA;DA;17;04;,00;,00
1246;Z LAŽJO TELESNO POŠKODBO;LJUBLJANA;01.02.2019;7;NE;CESTA;GLAVNA CESTA II. REDA;00106;LJ JUG-ŠKOFLJICA-ŠM.SAP;00262;RAŠICA-ŽLEBIÈ;1000;KRIŽIŠÈE;OSTALO;BOÈNO TRÈENJE;OBLAÈNO;NORMALEN;SPOLZKO;ZGLAJEN ASFALT / BETON;77794;471639;1;POVZROÈITELJ;55;MOŠKI;LJUBLJANA;SLOVENIJA;BREZ POŠKODBE;VOZNIK TOVORNEGA VOZILA;DA;35;02;,00;,00
1246;Z LAŽJO TELESNO POŠKODBO;LJUBLJANA;01.02.2019;7;NE;CESTA;GLAVNA CESTA II. REDA;00106;LJ JUG-ŠKOFLJICA-ŠM.SAP;00262;RAŠICA-ŽLEBIÈ;1000;KRIŽIŠÈE;OSTALO;BOÈNO TRÈENJE;OBLAÈNO;NORMALEN;SPOLZKO;ZGLAJEN ASFALT / BETON;77794;471639;2;UDELEŽENEC;46;ŽENSKI;GROSUPLJE;SLOVENIJA;LAŽJA TELESNA POŠKODBA;VOZNIK OSEBNEGA AVTOMOBILA;DA;28;07;,00;,00
1247;Z MATERIALNO ŠKODO;MARIBOR;02.02.2019;3;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;64033;MARIBOR;00105;GLAVNI TRG;5;CESTA;NEUSTREZNA VARNOSTNA RAZDALJA;NALETNO TRÈENJE;OBLAÈNO;NORMALEN;MOKRO;HRAPAV  ASFALT / BETON;157238;549828;1;UDELEŽENEC;31;MOŠKI;SLOVENSKA BISTRICA;SRBIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;13;02;,00;,00
1248;S HUDO TELESNO POŠKODBO;LENART;01.02.2019;21;DA;NASELJE;NASELJE BREZ ULIÈNEGA SISTEMA;21071;ZGORNJE PARTINJE;0;NI ODSEKOV;92;CESTA;NEPRILAGOJENA HITROST;PREVRNITEV VOZILA;OBLAÈNO;REDEK;MOKRO;HRAPAV  ASFALT / BETON;162170;558017;1;POVZROÈITELJ;36;MOŠKI;PESNICA;SLOVENIJA;LAŽJA TELESNA POŠKODBA;VOZNIK OSEBNEGA AVTOMOBILA;DA;17;07;,27;,69
1248;S HUDO TELESNO POŠKODBO;LENART;01.02.2019;21;DA;NASELJE;NASELJE BREZ ULIÈNEGA SISTEMA;21071;ZGORNJE PARTINJE;0;NI ODSEKOV;92;CESTA;NEPRILAGOJENA HITROST;PREVRNITEV VOZILA;OBLAÈNO;REDEK;MOKRO;HRAPAV  ASFALT / BETON;162170;558017;2;UDELEŽENEC;27;MOŠKI;PESNICA;SLOVENIJA;LAŽJA TELESNA POŠKODBA;POTNIK;DA;0;0;,74;,00
1248;S HUDO TELESNO POŠKODBO;LENART;01.02.2019;21;DA;NASELJE;NASELJE BREZ ULIÈNEGA SISTEMA;21071;ZGORNJE PARTINJE;0;NI ODSEKOV;92;CESTA;NEPRILAGOJENA HITROST;PREVRNITEV VOZILA;OBLAÈNO;REDEK;MOKRO;HRAPAV  ASFALT / BETON;162170;558017;3;UDELEŽENEC;20;MOŠKI;PESNICA;SLOVENIJA;HUDA TELESNA POŠKODBA;POTNIK;DA;0;0;,00;,00
1249;Z MATERIALNO ŠKODO;SEŽANA;01.02.2019;16;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;48130;SEŽANA;00057;CESTA NA LENIVEC;6;PARKIRNI PROSTOR;OSTALO;TRÈENJE V OBJEKT;DEŽEVNO;REDEK;MOKRO;ZGLAJEN ASFALT / BETON;63210;411863;1;POVZROÈITELJ;38;MOŠKI;SEŽANA;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;NEZNANO;20;00;,00;,00
1249;Z MATERIALNO ŠKODO;SEŽANA;01.02.2019;16;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;48130;SEŽANA;00057;CESTA NA LENIVEC;6;PARKIRNI PROSTOR;OSTALO;TRÈENJE V OBJEKT;DEŽEVNO;REDEK;MOKRO;ZGLAJEN ASFALT / BETON;63210;411863;2;UDELEŽENEC;25;MOŠKI;SEŽANA;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;07;07;,00;,00
1250;Z MATERIALNO ŠKODO;PIRAN;02.02.2019;21;DA;NASELJE;NASELJE BREZ ULIÈNEGA SISTEMA;40003;NOVA VAS NAD DRAGONJO;0;NI ODSEKOV;66;CESTA;NEPRAVILNA STRAN / SMER VOŽNJE;OPLAŽENJE;NEZNANO;NORMALEN;MOKRO;HRAPAV  ASFALT / BETON;38172;398664;1;POVZROÈITELJ;63;MOŠKI;PIRAN;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;0;0;,00;,00
1250;Z MATERIALNO ŠKODO;PIRAN;02.02.2019;21;DA;NASELJE;NASELJE BREZ ULIÈNEGA SISTEMA;40003;NOVA VAS NAD DRAGONJO;0;NI ODSEKOV;66;CESTA;NEPRAVILNA STRAN / SMER VOŽNJE;OPLAŽENJE;NEZNANO;NORMALEN;MOKRO;HRAPAV  ASFALT / BETON;38172;398664;2;UDELEŽENEC;29;MOŠKI;PIRAN;SLOVENIJA;BREZ POŠKODBE-UZ;VOZNIK OSEBNEGA AVTOMOBILA;DA;0;0;,00;,00
1251;Z MATERIALNO ŠKODO;MURSKA SOBOTA;02.02.2019;15;DA;CESTA;REGIONALNA CESTA II. REDA;00440;PETANJCI-GEDEROVCI-KUZMA;01296;CANKOVA-KUZMA;0;CESTA;PREMIKI Z VOZILOM;BOÈNO TRÈENJE;OBLAÈNO;NORMALEN;MOKRO;ZGLAJEN ASFALT / BETON;175230;578399;1;POVZROÈITELJ;63;MOŠKI;MURSKA SOBOTA;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;32;01;,00;,00
1251;Z MATERIALNO ŠKODO;MURSKA SOBOTA;02.02.2019;15;DA;CESTA;REGIONALNA CESTA II. REDA;00440;PETANJCI-GEDEROVCI-KUZMA;01296;CANKOVA-KUZMA;0;CESTA;PREMIKI Z VOZILOM;BOÈNO TRÈENJE;OBLAÈNO;NORMALEN;MOKRO;ZGLAJEN ASFALT / BETON;175230;578399;2;UDELEŽENEC;39;ŽENSKI;MURSKA SOBOTA;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;21;00;,00;,00
1252;Z MATERIALNO ŠKODO;SLOVENJ GRADEC;01.02.2019;18;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;49019;SLOVENJ GRADEC;00032;RONKOVA ULICA;4;CESTA;PREMIKI Z VOZILOM;BOÈNO TRÈENJE;DEŽEVNO;REDEK;MOKRO;ZGLAJEN ASFALT / BETON;151000;506930;1;UDELEŽENEC;22;ŽENSKI;DRAVOGRAD;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;NEZNANO;00;06;,00;,00
1252;Z MATERIALNO ŠKODO;SLOVENJ GRADEC;01.02.2019;18;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;49019;SLOVENJ GRADEC;00032;RONKOVA ULICA;4;CESTA;PREMIKI Z VOZILOM;BOÈNO TRÈENJE;DEŽEVNO;REDEK;MOKRO;ZGLAJEN ASFALT / BETON;151000;506930;2;POVZROÈITELJ;20;MOŠKI;SLOVENJ GRADEC;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;NEZNANO;01;04;,00;,00
1253;Z MATERIALNO ŠKODO;GROSUPLJE;02.02.2019;18;NE;CESTA;REGIONALNA CESTA II. REDA;00416;LITIJA-ŠMARTNO-GRM-BIÈ;01348;RADOHOVA VAS-BIÈ;10;CESTA;OSTALO;TRÈENJE V STOJEÈE / PARKIRANO VOZILO;MEGLA;REDEK;MOKRO;HRAPAV  ASFALT / BETON;88839;490750;1;POVZROÈITELJ;54;MOŠKI;TREBNJE;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;25;08;,00;,00
1253;Z MATERIALNO ŠKODO;GROSUPLJE;02.02.2019;18;NE;CESTA;REGIONALNA CESTA II. REDA;00416;LITIJA-ŠMARTNO-GRM-BIÈ;01348;RADOHOVA VAS-BIÈ;10;CESTA;OSTALO;TRÈENJE V STOJEÈE / PARKIRANO VOZILO;MEGLA;REDEK;MOKRO;HRAPAV  ASFALT / BETON;88839;490750;2;UDELEŽENEC;47;ŽENSKI;NOVO MESTO;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;28;03;,00;,00
1254;Z MATERIALNO ŠKODO;NOVA GORICA;18.01.2019;15;DA;NASELJE;NASELJE BREZ ULIÈNEGA SISTEMA;37002;AJŠEVICA;0;NI ODSEKOV;32;CESTA;NEUSTREZNA VARNOSTNA RAZDALJA;NALETNO TRÈENJE;OBLAÈNO;NORMALEN;MOKRO;HRAPAV  ASFALT / BETON;90301;399422;1;POVZROÈITELJ;28;ŽENSKI;NOVA GORICA;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;11;00;,00;,00
1254;Z MATERIALNO ŠKODO;NOVA GORICA;18.01.2019;15;DA;NASELJE;NASELJE BREZ ULIÈNEGA SISTEMA;37002;AJŠEVICA;0;NI ODSEKOV;32;CESTA;NEUSTREZNA VARNOSTNA RAZDALJA;NALETNO TRÈENJE;OBLAÈNO;NORMALEN;MOKRO;HRAPAV  ASFALT / BETON;90301;399422;2;UDELEŽENEC;41;MOŠKI;TOLMIN;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;23;00;,00;,00
